lead_id,client_id,fecha_lead,canal_origen,hora_lead,dia_semana,has_vtex,producto_visto,cat_producto,punto_abandono,tiempo_pagina_s,paginas_sesion,uso_comparador,items_carrito,sesiones_72h,device,source_medium,convertido,prob_conv_true
lead_000029,GA4_5773713,2025-10-29,whatsapp_inbound,18,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.8336
lead_000030,GA4_3348331,2025-05-23,formulario_web,0,1,1,Plan 50GB,plan_movil,add_to_cart,17,5,0,1,2,mobile,google_cpc,1,0.624
lead_000031,GA4_7336179,2025-01-04,whatsapp_inbound,22,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4514
lead_000032,GA4_9718559,2025-03-23,whatsapp_inbound,20,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.6406
lead_000033,GA4_5154597,2025-12-24,boton_ayuda,21,0,1,Samsung A55,equipo,begin_checkout,6,4,0,1,3,desktop,google_organic,1,0.7244
lead_000034,GA4_2765414,2025-08-05,boton_ayuda,18,4,1,Plan 10GB,plan_movil,begin_checkout,68,8,0,2,1,mobile,directo,0,0.7927
lead_000035,GA4_6500359,2025-06-24,formulario_web,12,6,1,Motorola Edge,equipo,view_item,23,2,0,0,1,tablet,directo,0,0.1622
lead_000036,GA4_9664623,2025-05-23,whatsapp_inbound,21,1,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.4519
lead_000037,GA4_4230541,2025-03-21,whatsapp_inbound,11,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.3712
lead_000038,GA4_7061063,2025-04-21,formulario_web,16,0,1,Plan 20GB,plan_movil,view_item,121,7,0,0,0,mobile,whatsapp_link,0,0.3625
lead_000039,GA4_8622050,2025-06-22,formulario_web,7,1,1,Plan Hogar,internet_hogar,begin_checkout,85,5,0,1,2,mobile,facebook_ads,1,0.829
lead_000040,GA4_2643963,2025-02-22,whatsapp_inbound,21,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.6243
lead_000041,GA4_3458755,2025-02-17,formulario_web,8,2,1,Samsung A55,equipo,add_to_cart,29,2,0,1,1,mobile,facebook_ads,0,0.2849
lead_000042,GA4_8141928,2025-07-14,whatsapp_inbound,10,5,1,Plan 20GB,plan_movil,view_item,5,6,0,0,2,mobile,google_cpc,1,0.8257
lead_000043,GA4_7913101,2025-02-19,boton_ayuda,16,5,1,Plan 10GB,plan_movil,add_to_cart,5,3,0,2,1,mobile,google_organic,0,0.4553
lead_000044,GA4_2374845,2025-07-03,whatsapp_inbound,19,3,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.6331
lead_000045,GA4_2547674,2025-06-26,formulario_web,17,0,1,Plan 10GB,plan_movil,add_to_cart,22,10,1,1,2,mobile,facebook_ads,1,0.8301
lead_000046,GA4_2043436,2025-11-06,whatsapp_inbound,10,1,1,Plan 20GB,plan_movil,add_to_cart,88,8,1,1,1,tablet,google_cpc,1,0.884
lead_000047,GA4_8128416,2025-05-16,formulario_web,0,0,1,Plan 100GB,plan_movil,view_item,41,7,0,0,3,mobile,google_cpc,0,0.4018
lead_000048,GA4_3182100,2025-01-23,formulario_web,19,2,1,Plan 50GB,plan_movil,add_to_cart,5,4,1,1,1,mobile,facebook_ads,1,0.8679
lead_000049,GA4_8990200,2025-08-24,whatsapp_inbound,22,2,1,Plan 50GB,plan_movil,view_item,32,5,0,0,2,mobile,google_organic,1,0.731
lead_000050,GA4_4603484,2025-10-02,boton_ayuda,19,6,1,Motorola Edge,equipo,add_to_cart,86,4,0,1,1,desktop,google_cpc,0,0.5041
lead_000051,GA4_8485391,2025-03-05,formulario_web,14,5,1,Plan 20GB,plan_movil,begin_checkout,99,4,0,2,1,desktop,facebook_ads,1,0.8607
lead_000052,GA4_2309842,2025-07-13,boton_ayuda,21,5,1,Plan 50GB,plan_movil,add_to_cart,9,3,0,1,2,mobile,email_claro,0,0.7198
lead_000053,GA4_7195728,2025-02-10,boton_ayuda,13,1,1,Plan 100GB,plan_movil,add_to_cart,5,3,0,2,0,desktop,google_cpc,1,0.6656
lead_000054,GA4_9829103,2025-10-10,formulario_web,16,4,1,Plan 20GB,plan_movil,view_item,24,9,0,0,2,mobile,google_cpc,0,0.5305
lead_000055,GA4_7757085,2025-05-31,boton_ayuda,15,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.1507
lead_000056,GA4_9706452,2025-11-18,whatsapp_inbound,14,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.7216
lead_000057,GA4_7623350,2025-11-13,whatsapp_inbound,19,2,1,Plan 50GB,plan_movil,begin_checkout,29,7,0,3,2,mobile,directo,1,0.965
lead_000058,GA4_5424046,2025-07-05,whatsapp_inbound,16,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.5371
lead_000059,GA4_9368933,2025-10-23,whatsapp_inbound,12,1,1,Plan 10GB,plan_movil,view_item,5,3,0,0,2,desktop,google_organic,1,0.6083
lead_000060,GA4_8103845,2025-04-09,whatsapp_inbound,11,3,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.6064
lead_000061,GA4_8383316,2025-12-27,whatsapp_inbound,3,5,1,Plan 50GB,plan_movil,add_to_cart,5,7,0,1,1,desktop,google_cpc,0,0.5056
lead_000062,GA4_9213136,2025-02-05,boton_ayuda,17,2,1,Motorola Edge,equipo,view_item,5,4,0,0,1,mobile,google_organic,0,0.1543
lead_000063,GA4_7994796,2025-01-24,whatsapp_inbound,10,5,1,Plan 50GB,plan_movil,view_item,13,2,0,0,0,mobile,directo,1,0.6249
lead_000064,GA4_3732048,2025-12-05,whatsapp_inbound,8,5,1,Plan 50GB,plan_movil,add_to_cart,5,3,0,1,1,desktop,google_organic,0,0.6104
lead_000065,GA4_3421727,2025-04-27,formulario_web,18,5,1,Plan 100GB,plan_movil,view_item,51,7,0,0,4,mobile,google_cpc,1,0.8661
lead_000066,GA4_9485679,2025-05-29,whatsapp_inbound,18,3,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.4522
lead_000067,GA4_3132786,2025-02-10,formulario_web,19,0,1,Plan 100GB,plan_movil,add_to_cart,32,3,0,1,1,desktop,google_cpc,1,0.7143
lead_000068,GA4_9132997,2025-04-30,whatsapp_inbound,15,4,1,Plan 10GB,plan_movil,view_item,98,3,0,0,1,desktop,google_cpc,0,0.6608
lead_000069,GA4_8679146,2025-02-21,boton_ayuda,21,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.3793
lead_000070,GA4_3170723,2025-07-14,formulario_web,21,1,1,Plan Hogar,internet_hogar,view_item,7,3,1,0,0,mobile,whatsapp_link,0,0.6408
lead_000071,GA4_9609823,2025-05-23,whatsapp_inbound,19,5,1,Plan 50GB,plan_movil,view_item,5,10,1,0,0,mobile,email_claro,1,0.9107
lead_000072,GA4_9877514,2025-08-21,whatsapp_inbound,17,5,1,iPhone 15,equipo,begin_checkout,54,5,1,2,1,tablet,email_claro,1,0.8421
lead_000073,GA4_2980687,2025-11-22,formulario_web,12,0,1,Plan 10GB,plan_movil,add_to_cart,11,3,0,2,2,mobile,directo,0,0.8307
lead_000074,GA4_4567549,2025-07-06,formulario_web,22,6,1,Plan 10GB,plan_movil,view_item,76,5,1,0,0,mobile,google_organic,1,0.7252
lead_000075,GA4_8640887,2025-03-25,formulario_web,11,1,1,Plan 50GB,plan_movil,view_item,28,7,0,0,0,mobile,facebook_ads,0,0.3229
lead_000076,GA4_8941588,2025-07-09,formulario_web,10,0,1,Motorola Edge,equipo,view_item,8,6,0,0,1,desktop,whatsapp_link,1,0.1918
lead_000077,GA4_1547061,2025-07-01,whatsapp_inbound,14,5,1,Plan 50GB,plan_movil,begin_checkout,182,5,0,4,1,mobile,facebook_ads,1,0.9753
lead_000078,GA4_3631333,2025-04-18,whatsapp_inbound,5,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.3012
lead_000079,GA4_7196363,2025-12-10,whatsapp_inbound,22,0,1,Plan Hogar,internet_hogar,begin_checkout,6,4,0,1,0,mobile,email_claro,0,0.6893
lead_000080,GA4_2992563,2025-05-17,boton_ayuda,17,0,1,Samsung A55,equipo,add_to_cart,83,3,0,1,2,mobile,google_organic,0,0.6242
lead_000081,GA4_7855503,2025-12-26,formulario_web,16,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4268
lead_000082,GA4_2851133,2025-12-16,whatsapp_inbound,18,3,1,Plan 100GB,plan_movil,begin_checkout,139,4,0,2,1,mobile,whatsapp_link,1,0.9786
lead_000083,GA4_3027802,2025-11-28,whatsapp_inbound,15,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4215
lead_000084,GA4_7200623,2025-02-06,whatsapp_inbound,3,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4357
lead_000085,GA4_5858523,2025-11-08,whatsapp_inbound,17,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.5033
lead_000086,GA4_1675822,2025-11-22,formulario_web,18,3,1,Plan 20GB,plan_movil,add_to_cart,12,6,0,1,2,mobile,google_cpc,1,0.8164
lead_000087,GA4_9770751,2025-03-29,formulario_web,14,3,1,Samsung A55,equipo,view_item,53,6,0,0,3,desktop,email_claro,1,0.4627
lead_000088,GA4_3572022,2025-10-01,boton_ayuda,19,1,1,Plan Hogar,internet_hogar,begin_checkout,64,6,1,1,0,desktop,email_claro,1,0.786
lead_000089,GA4_2975386,2025-05-06,formulario_web,10,2,1,Plan 100GB,plan_movil,begin_checkout,28,3,1,1,3,mobile,facebook_ads,1,0.9319
lead_000090,GA4_7232188,2025-03-25,whatsapp_inbound,10,2,1,Plan 10GB,plan_movil,add_to_cart,14,4,0,1,0,desktop,facebook_ads,0,0.7606
lead_000091,GA4_6115785,2025-08-25,formulario_web,9,0,1,Samsung A55,equipo,add_to_cart,62,20,0,2,2,desktop,directo,1,0.6505
lead_000092,GA4_7282392,2025-07-14,formulario_web,13,3,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.3578
lead_000093,GA4_6087859,2025-05-19,formulario_web,20,6,1,Xiaomi 14T,equipo,begin_checkout,72,6,1,2,0,tablet,google_organic,1,0.9377
lead_000094,GA4_5932187,2025-11-24,formulario_web,20,4,1,Plan 10GB,plan_movil,add_to_cart,77,3,0,1,2,mobile,google_cpc,1,0.9054
lead_000095,GA4_9152477,2025-12-19,formulario_web,13,1,1,Plan Hogar,internet_hogar,view_item,29,4,0,0,1,desktop,directo,0,0.2938
lead_000096,GA4_1469389,2025-10-13,formulario_web,17,6,1,Plan 50GB,plan_movil,view_item,10,2,0,0,0,mobile,google_organic,1,0.5267
lead_000097,GA4_3396950,2025-04-23,formulario_web,18,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.3443
lead_000098,GA4_3384710,2025-12-17,whatsapp_inbound,10,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4615
lead_000099,GA4_8075907,2025-06-16,whatsapp_inbound,9,4,1,Plan 100GB,plan_movil,begin_checkout,37,5,0,1,2,desktop,whatsapp_link,1,0.6698
lead_000100,GA4_1816229,2025-01-29,whatsapp_inbound,22,3,1,Plan 10GB,plan_movil,view_item,30,4,0,0,1,desktop,directo,0,0.4159
lead_000101,GA4_6119801,2025-04-28,formulario_web,17,6,1,Xiaomi 14T,equipo,add_to_cart,193,3,0,1,2,mobile,google_cpc,0,0.815
lead_000102,GA4_5756043,2025-01-17,whatsapp_inbound,22,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4301
lead_000103,GA4_4616856,2025-06-11,formulario_web,12,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.245
lead_000104,GA4_4071524,2025-07-25,boton_ayuda,18,1,1,Plan 100GB,plan_movil,add_to_cart,34,3,0,1,0,tablet,facebook_ads,1,0.5516
lead_000105,GA4_9200596,2025-05-18,whatsapp_inbound,10,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.4173
lead_000106,GA4_1034993,2025-02-03,formulario_web,11,3,1,Plan 100GB,plan_movil,add_to_cart,17,4,0,1,3,mobile,directo,1,0.8471
lead_000107,GA4_3052321,2025-04-19,formulario_web,15,1,1,Plan Hogar,internet_hogar,view_item,19,5,0,0,0,mobile,facebook_ads,0,0.3346
lead_000108,GA4_6849358,2025-10-18,whatsapp_inbound,12,5,1,Plan Hogar,internet_hogar,view_item,133,6,0,0,2,mobile,whatsapp_link,1,0.8368
lead_000109,GA4_2133544,2025-06-11,whatsapp_inbound,9,4,1,Plan 10GB,plan_movil,begin_checkout,7,5,0,1,3,mobile,google_cpc,0,0.8532
lead_000110,GA4_1749647,2025-04-19,whatsapp_inbound,11,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.3494
lead_000111,GA4_8005748,2025-12-02,whatsapp_inbound,3,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4275
lead_000112,GA4_9072800,2025-09-13,boton_ayuda,18,3,1,Plan 50GB,plan_movil,add_to_cart,15,5,0,2,1,desktop,facebook_ads,0,0.576
lead_000113,GA4_6195935,2025-07-22,formulario_web,15,4,1,Plan 100GB,plan_movil,view_item,5,2,0,0,2,mobile,google_organic,0,0.4422
lead_000114,GA4_8589583,2025-11-26,formulario_web,7,2,1,Plan 10GB,plan_movil,view_item,18,5,0,0,0,mobile,facebook_ads,0,0.4487
lead_000115,GA4_6667733,2025-08-23,boton_ayuda,9,5,1,Plan 20GB,plan_movil,view_item,28,3,0,0,1,desktop,google_cpc,0,0.2219
lead_000116,GA4_7330138,2025-03-15,formulario_web,7,2,1,Plan 10GB,plan_movil,add_to_cart,151,8,1,2,1,mobile,google_organic,0,0.8832
lead_000117,GA4_8972995,2025-05-16,whatsapp_inbound,17,1,1,iPhone 15,equipo,view_item,28,3,1,0,3,desktop,google_organic,0,0.7962
lead_000118,GA4_3228175,2025-03-13,boton_ayuda,7,5,1,Plan 20GB,plan_movil,add_to_cart,5,2,0,1,0,mobile,directo,0,0.5375
lead_000119,GA4_3324018,2025-05-07,formulario_web,19,5,1,Plan Hogar,internet_hogar,add_to_cart,7,5,0,2,0,mobile,facebook_ads,0,0.6344
lead_000120,GA4_9468532,2025-10-15,formulario_web,2,2,1,Plan 20GB,plan_movil,begin_checkout,21,3,0,2,4,desktop,directo,1,0.8186
lead_000121,GA4_8733225,2025-10-03,boton_ayuda,11,4,1,Plan 10GB,plan_movil,view_item,10,2,0,0,0,mobile,google_organic,0,0.2327
lead_000122,GA4_8548562,2025-05-15,whatsapp_inbound,20,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.6973
lead_000123,GA4_8534223,2025-10-27,whatsapp_inbound,18,3,1,iPhone 15,equipo,begin_checkout,9,6,1,1,3,mobile,directo,1,0.9812
lead_000124,GA4_3499513,2025-08-08,whatsapp_inbound,6,1,1,Plan 10GB,plan_movil,begin_checkout,5,4,0,1,1,mobile,google_organic,1,0.8877
lead_000125,GA4_6456223,2025-10-26,formulario_web,20,6,1,Plan 10GB,plan_movil,begin_checkout,11,5,1,1,2,mobile,google_organic,1,0.9731
lead_000126,GA4_2498456,2025-07-24,formulario_web,15,5,1,Plan 10GB,plan_movil,begin_checkout,282,4,0,1,2,mobile,google_organic,1,0.8862
lead_000127,GA4_7872422,2025-07-05,boton_ayuda,20,3,1,Plan 50GB,plan_movil,add_to_cart,29,5,1,1,2,mobile,google_cpc,0,0.891
lead_000128,GA4_7496727,2025-04-23,whatsapp_inbound,17,4,1,Motorola Edge,equipo,view_item,53,2,0,0,0,mobile,directo,1,0.5491
lead_000129,GA4_4906109,2025-03-12,formulario_web,18,4,1,iPhone 15,equipo,begin_checkout,9,6,0,1,1,mobile,google_organic,0,0.7419
lead_000130,GA4_7633663,2025-09-18,formulario_web,23,2,1,Plan 10GB,plan_movil,view_item,94,2,0,0,1,desktop,google_organic,0,0.323
lead_000131,GA4_6687440,2025-09-10,whatsapp_inbound,10,0,1,Plan 10GB,plan_movil,begin_checkout,15,7,0,1,1,desktop,google_cpc,1,0.8242
lead_000132,GA4_1768727,2025-02-16,whatsapp_inbound,17,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.491
lead_000133,GA4_8433920,2025-01-25,whatsapp_inbound,14,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.722
lead_000134,GA4_5653581,2025-02-26,boton_ayuda,3,0,1,Samsung A55,equipo,view_item,150,2,1,0,0,mobile,whatsapp_link,0,0.4599
lead_000135,GA4_2485285,2025-03-20,whatsapp_inbound,1,4,1,Plan 20GB,plan_movil,add_to_cart,55,6,0,3,1,mobile,whatsapp_link,1,0.6279
lead_000136,GA4_3778554,2025-11-18,formulario_web,8,4,1,Plan 50GB,plan_movil,view_item,53,3,0,0,1,mobile,directo,0,0.2848
lead_000137,GA4_1416143,2025-03-23,formulario_web,18,6,1,Plan 10GB,plan_movil,add_to_cart,91,6,0,1,3,mobile,directo,1,0.7135
lead_000138,GA4_6181610,2025-12-15,whatsapp_inbound,16,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4391
lead_000139,GA4_3076710,2025-08-05,boton_ayuda,16,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.2716
lead_000140,GA4_2428614,2025-11-02,boton_ayuda,3,6,1,Plan 20GB,plan_movil,begin_checkout,22,3,0,2,4,mobile,google_cpc,1,0.8545
lead_000141,GA4_4228384,2025-02-02,whatsapp_inbound,15,6,1,Plan 50GB,plan_movil,add_to_cart,12,7,0,1,0,desktop,google_organic,1,0.6604
lead_000142,GA4_1887084,2025-07-17,formulario_web,21,1,1,Plan 20GB,plan_movil,view_item,76,3,0,0,2,mobile,google_cpc,1,0.858
lead_000143,GA4_9753576,2025-07-15,whatsapp_inbound,13,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.5999
lead_000144,GA4_4177535,2025-11-02,whatsapp_inbound,17,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4221
lead_000145,GA4_8983198,2025-08-28,whatsapp_inbound,19,4,1,Motorola Edge,equipo,add_to_cart,32,5,0,2,1,mobile,google_cpc,1,0.9104
lead_000146,GA4_9432879,2025-09-28,formulario_web,19,6,1,Plan 20GB,plan_movil,begin_checkout,53,3,0,2,0,desktop,whatsapp_link,0,0.7674
lead_000147,GA4_1313131,2025-05-09,formulario_web,16,1,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.2144
lead_000148,GA4_3018016,2025-10-11,whatsapp_inbound,20,6,1,Motorola Edge,equipo,view_item,61,6,0,0,1,desktop,google_cpc,1,0.7664
lead_000149,GA4_9923120,2025-01-06,whatsapp_inbound,13,6,1,Samsung A55,equipo,begin_checkout,12,3,0,1,1,mobile,google_organic,0,0.7863
lead_000150,GA4_4015593,2025-12-15,boton_ayuda,20,3,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.2624
lead_000151,GA4_1318323,2025-02-28,whatsapp_inbound,10,3,1,Plan 100GB,plan_movil,add_to_cart,41,6,0,3,0,mobile,google_cpc,1,0.8432
lead_000152,GA4_5613105,2025-12-16,whatsapp_inbound,11,1,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.4087
lead_000153,GA4_4452834,2025-10-02,formulario_web,5,1,1,Plan 10GB,plan_movil,begin_checkout,29,5,0,1,1,mobile,google_organic,1,0.6536
lead_000154,GA4_5115227,2025-05-17,boton_ayuda,19,3,1,Plan 100GB,plan_movil,begin_checkout,35,7,0,3,0,mobile,google_organic,1,0.6957
lead_000155,GA4_8452933,2025-11-25,whatsapp_inbound,14,3,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.417
lead_000156,GA4_2420156,2025-06-24,formulario_web,10,3,1,Plan 10GB,plan_movil,add_to_cart,11,7,1,1,1,mobile,directo,0,0.8339
lead_000157,GA4_9951380,2025-02-27,formulario_web,10,3,1,Plan 20GB,plan_movil,view_item,31,5,0,0,1,mobile,directo,0,0.3425
lead_000158,GA4_6375942,2025-05-31,whatsapp_inbound,21,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.6231
lead_000159,GA4_7741049,2025-08-11,formulario_web,20,5,1,iPhone 15,equipo,begin_checkout,11,9,0,2,2,mobile,google_cpc,0,0.9223
lead_000160,GA4_1754700,2025-03-22,whatsapp_inbound,16,6,1,Plan Hogar,internet_hogar,begin_checkout,5,2,0,3,2,mobile,whatsapp_link,1,0.8705
lead_000161,GA4_9245549,2025-08-21,formulario_web,17,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.2674
lead_000162,GA4_1390292,2025-01-02,formulario_web,15,6,1,Plan 50GB,plan_movil,begin_checkout,5,6,1,2,0,mobile,google_cpc,1,0.8445
lead_000163,GA4_6703524,2025-05-15,formulario_web,13,1,1,Plan Hogar,internet_hogar,begin_checkout,16,3,0,3,0,mobile,directo,1,0.8752
lead_000164,GA4_8331935,2025-09-14,whatsapp_inbound,21,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.615
lead_000165,GA4_4028421,2025-04-02,boton_ayuda,8,2,1,Plan 50GB,plan_movil,begin_checkout,45,3,0,1,0,tablet,google_cpc,0,0.4565
lead_000166,GA4_7961478,2025-09-17,whatsapp_inbound,14,0,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.5799
lead_000167,GA4_1403608,2025-02-24,whatsapp_inbound,12,0,1,Plan 100GB,plan_movil,begin_checkout,15,5,0,1,1,mobile,directo,1,0.9241
lead_000168,GA4_9856721,2025-11-17,whatsapp_inbound,15,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4707
